source|target
f7fdccef-9e9c-58ac-9ee1-e0204907cefd|Challenge_4
18311aa5-d82d-54f4-a0a7-2bfea6753af5|Challenge_1
c66cb2fe-7102-5fac-af1f-56e6c79c3857|Challenge_1
3306aca4-d957-5366-9e95-0ef3effb3e83|Challenge_1
761ab75b-0aeb-560d-92f4-d46ecaba0412|Challenge_17
08f7fd69-4f54-57b2-a5b9-f84c056ab92f|Challenge_17
0bc5abde-656d-5874-87bc-7abb8f83cff4|Challenge_1
8ea96f7e-8462-53ad-b153-1a93f4f4cd71|Challenge_5
f7761cb4-452e-545f-aeaf-237ee2fdc318|Challenge_1
a8405192-4506-513b-a7de-67892f45d872|Challenge_10
c2e8e422-7461-5a74-ae7b-744662c058b2|Challenge_1
f7761cb4-452e-545f-aeaf-237ee2fdc318|Challenge_5
0371c4b7-c22e-5ee1-8a84-8ad51283e21b|Challenge_5
2f1de64d-7a0b-52d2-a71b-b2ed36334e65|Challenge_1
27f67358-83be-5303-b8bb-d1061e1c8d7a|Challenge_10
437b471d-c084-56e5-9409-5a6d5f3afeba|Challenge_1
ebb21d36-ade1-557f-b334-5ecefe57e4c0|Challenge_1
113009e1-9d97-550e-920f-1ff8b1d675f4|Challenge_1
56079ea5-c4ec-5140-a97f-9f1c7cfee321|Challenge_1
36cfc05b-506b-5b5d-9097-b89fecf163d6|Challenge_1
38edc217-c7df-544c-ac80-f467e0b77ea7|Challenge_6
8dbac85a-c395-5587-b150-42a42ff11c34|Challenge_6
6cae13c9-9af6-5461-8749-57dbe935f3a8|Challenge_1
3dcb232d-933c-5252-95f0-db2371644e9c|Challenge_4
32675cd7-fd88-56fe-af99-df6ccc2419cf|Challenge_1
32675cd7-fd88-56fe-af99-df6ccc2419cf|Challenge_5
6672f549-c916-5632-bcf1-7945725dbfe9|Challenge_5
d1768946-ce98-5523-95b4-e3796a85ba96|Challenge_4
d2a50756-adbd-543f-9c40-7cdd0227a046|Challenge_1
3d8063b5-69f4-5979-b144-e954152d8d9b|Challenge_17
3efa43c4-8ca4-5525-b845-da9800c7752a|Challenge_6
1deea2e1-8503-561c-b7c3-b63d420f4b0b|Challenge_4
19e3d7ed-ff13-578f-9c1d-63898c64be65|Challenge_1
6fce2b81-dcb8-5122-b567-783bf0c72d4f|Challenge_1
85503c78-2638-5081-9e38-b3d6bf9793dc|Challenge_1
d436e361-c342-5385-89ca-26ec4f7b2df3|Challenge_1
4380ff2f-67d6-5496-8247-a245230181f1|Challenge_1
521b04ce-540c-556b-8564-6f0fb84829f0|Challenge_1
36f81dac-f33e-5ad7-9b21-f831176db6dc|Challenge_1
4dacaca9-df5b-5e12-88a6-ce3bc7a6e814|Challenge_6
fc35de3c-e353-5c3a-b35a-708a759e9f62|Challenge_1
145d47e0-ea89-541d-83bc-7bda4657cd55|Challenge_10
93750600-2f58-57b2-ae36-21f15c3c543b|Challenge_10
a65cf2a3-5a71-510b-b2ce-1340d07b333b|Challenge_10
5281aa7b-edb2-5d13-8753-ad91c3a408ef|Challenge_1
a12cb4ac-0dfb-5f9b-9f11-9a0e881949ae|Challenge_4
aeb988a1-8112-5b02-b87c-1dba977e8aa8|Challenge_4
7dd1957b-503b-5fa8-80f4-1e1b6d4c6e47|Challenge_4
01f3b7a4-6716-5d11-b1ae-62005abf187f|Challenge_1
0430c77a-d35d-51e4-883f-521e01317313|Challenge_1
a257e631-8655-5cb4-9a54-d897e9c2dc1d|Challenge_4
0d2ef30d-d503-5d79-9e34-b7d00e03e5e3|Challenge_1
f756e97c-7e25-595a-bb8b-d84d607f0355|Challenge_6
0430c77a-d35d-51e4-883f-521e01317313|Challenge_5
674448d0-b2bb-55da-8ebc-fd57a4bedaef|Challenge_1
42777dc0-4d15-5c81-ba5b-99f2bf37340b|Challenge_1
52fb65a3-7784-5619-a706-d81a22fde108|Challenge_1
ba8d8dd3-0bb6-5de0-ae3d-33e89bf9d067|Challenge_1
89076307-1a7d-5a89-806d-b8e4f0992933|Challenge_1
9c4e2d87-5bce-5a63-b8b4-293f2b3ebc41|Challenge_6
43bd599f-23e1-5403-b81f-de7b292dcea9|Challenge_1
f03adb9b-7af2-562f-9039-a002a5636462|Challenge_6
a8405192-4506-513b-a7de-67892f45d872|Challenge_4
d2774905-d542-5d0e-bdf5-141b9a9b133e|Challenge_4
12300048-e5cb-5322-af6d-034ad0d186fa|Challenge_1
f03adb9b-7af2-562f-9039-a002a5636462|Challenge_4
82b616b6-0733-5aea-85e1-5dd4e1f4db7d|Challenge_1
66e0cb02-3b00-5cbc-b41f-6c5212805ea9|Challenge_1
b82117d0-cb52-5f21-8e34-ef6b858f6616|Challenge_4
b5ad8214-7885-571f-bb8e-d6e57eb8e8ab|Challenge_4
34e3e49c-b758-593b-bef9-8c7f04d29d10|Challenge_1
7679c89c-8853-5cd5-86eb-0a7b04ce080d|Challenge_1
67cb5a7a-360c-521a-ace8-eefe0f4b9b0e|Challenge_1
d8bbaaf0-1e77-5a1f-8c64-e1f242d8ec51|Challenge_1
ff894488-f94f-5bbd-9e4d-00e23974ccf1|Challenge_4
e48c6462-8b4a-55b3-88d9-5d12792ee968|Challenge_4
2d82f26e-2273-5778-bdce-8dc66e0c359c|Challenge_4
ac59b0f4-2fbe-5c56-962c-6d55550fed84|Challenge_1
3354de83-a569-5532-ac1a-daf72cc258ae|Challenge_1
0234de85-8831-52b2-a7a6-a0457e6582d0|Challenge_4
e1aecd81-90fa-525e-8fc5-49d9cdf2103e|Challenge_10
8ce87105-8fd2-5e0d-977e-35f3d9a65cbb|Challenge_6
19aa7194-2413-59f6-b5a9-539316786f6f|Challenge_1
8ce87105-8fd2-5e0d-977e-35f3d9a65cbb|Challenge_4
a498fff3-b5e7-57ba-a394-e166a062733e|Challenge_6
4303d0b6-a27d-50d0-8328-73ff56e3e689|Challenge_1
4303d0b6-a27d-50d0-8328-73ff56e3e689|Challenge_5
1fa7c5d3-113e-5195-aa84-38a5aed75444|Challenge_1
7b1809e1-1c7f-537d-875c-3f12d76ea349|Challenge_17
566ec10f-f322-589e-83a4-a6330c17df51|Challenge_6
5af0c511-cc44-57ef-aaa4-89f255fd3f59|Challenge_4
7d813974-b532-5e8e-9958-f16d014b7394|Challenge_6
145d47e0-ea89-541d-83bc-7bda4657cd55|Challenge_6
ca439333-46fe-52c7-8973-4011b9561141|Challenge_4
323f7f75-f334-5804-b031-bb8b1f6d563d|Challenge_1
93750600-2f58-57b2-ae36-21f15c3c543b|Challenge_6
a65cf2a3-5a71-510b-b2ce-1340d07b333b|Challenge_6
7d813974-b532-5e8e-9958-f16d014b7394|Challenge_4
fb8a90e9-616f-5e53-9202-c7c91232940b|Challenge_10
044fa5a2-05cb-5d7c-be00-5f020191bdd4|Challenge_1
145d47e0-ea89-541d-83bc-7bda4657cd55|Challenge_4
323f7f75-f334-5804-b031-bb8b1f6d563d|Challenge_5
fcc42a33-2b7a-5ecb-aab0-535b45851f29|Challenge_1
9450bf6c-14cd-5d6c-ab91-bc335d5632d3|Challenge_1
8edbdcdf-4274-5d2e-b32b-d8c2b7f8522d|Challenge_1
4dacaca9-df5b-5e12-88a6-ce3bc7a6e814|Challenge_5
a12cb4ac-0dfb-5f9b-9f11-9a0e881949ae|Challenge_5
910f76e7-a566-5a06-a82b-223ea6f474c2|Challenge_1
d0bc6ccd-619e-5e9c-9c64-0152b5e4a4d6|Challenge_1
834a75e5-2f5f-5561-abb1-b417634df752|Challenge_1
9aa4635f-0dc5-52fc-b96d-4f38d9da04d2|Challenge_4
cd0a9de0-6cf7-5c38-a884-1cbcd64ae751|Challenge_1
7e54bbdf-88ce-53c0-8367-06094a5634fe|Challenge_4
e6914436-38aa-58ff-8928-28c94b011892|Challenge_1
d6a6df8f-2109-5198-b361-c9436583f457|Challenge_1
c5c9deef-abd6-5de0-a219-7411629f4101|Challenge_1
a931de24-62fc-5145-8a0f-8e6354e0a3b9|Challenge_4
70cb230d-59c6-5808-9723-ed3f3ca61ecf|Challenge_17
e9a7161d-1181-5d18-ac60-7c6474b08b8c|Challenge_4
c145a936-3487-53f4-8e79-74ef84df25ba|Challenge_4
be358770-c0be-534c-aced-17cf753d2396|Challenge_1
9f32d05f-dbaf-5ea5-a93e-1b436088c93b|Challenge_1
daf8a07d-3782-5aa0-b334-ca239d276bed|Challenge_1
9220e9fa-aff9-5f02-b27c-bac459f345d6|Challenge_6
c44a19b4-dbdd-5a1f-acd9-435418bf611c|Challenge_1
5829b432-9662-5411-a837-e336427be89f|Challenge_1
25a5dfef-2a70-5629-b1fb-1bc3ae26c09f|Challenge_6
b741a5ea-a8a2-5cfa-8bd0-def8538b7fcc|Challenge_1
27b3cf95-fda1-5b13-b95c-0e2d9fb42f31|Challenge_1
25a5dfef-2a70-5629-b1fb-1bc3ae26c09f|Challenge_4
9c4e2d87-5bce-5a63-b8b4-293f2b3ebc41|Challenge_5
d8d0fe23-0893-5a08-a133-40f719006478|Challenge_4
3b1def04-b03c-5f59-9658-434d92da9265|Challenge_10
c0f44530-9ce9-5c90-8d10-4dec8fd277aa|Challenge_4
a8405192-4506-513b-a7de-67892f45d872|Challenge_17
27f67358-83be-5303-b8bb-d1061e1c8d7a|Challenge_5
c9a7fb50-d222-5593-8bab-94d873dcec2e|Challenge_4
f03adb9b-7af2-562f-9039-a002a5636462|Challenge_17
c6e79c8f-5af5-5485-9f3e-c70403b38716|Challenge_10
c638efb6-1911-500b-893b-d2fa4e7cd816|Challenge_1
d0eb8d85-1b55-5d81-a6ac-f3088597e843|Challenge_4
24829cd1-53eb-5acb-9945-2df76e90574c|Challenge_6
115eb991-36d6-52ae-aa0a-58952787ed43|Challenge_5
cec09e6a-a58c-5bd8-a95d-6de7fc18b91e|Challenge_1
1e26986c-136c-577e-89f4-948133f5e822|Challenge_4
38fe640a-109b-5a6b-86d4-d7a399e3f44e|Challenge_1
3903e312-7d07-539a-b005-7ec5cecb18f7|Challenge_5
0234de85-8831-52b2-a7a6-a0457e6582d0|Challenge_5
479cec88-0c7e-5ce0-b0ce-bc3da9388715|Challenge_4
c638efb6-1911-500b-893b-d2fa4e7cd816|Challenge_5
883cb608-df17-5a7e-b4e4-9219a29a5165|Challenge_1
51bc8f25-d3e9-5c99-95ef-2703bb14aa5a|Challenge_4
a952998a-f358-5070-a0fd-118112b60df3|Challenge_10
